,gender,age_category,credit_score,area,traffic_index,vehicle_age,vehicle_body,vehicle_value,claim_risk_cat,credit_score_cat
0,1,2.0,631.0,1,140.9,4,11,0.924,1,4
1,1,2.0,531.0,2,136.5,3,3,1.43,0,0
2,1,6.0,838.0,3,88.8,3,9,1.1,0,1
3,1,5.0,835.0,4,43.5,2,9,2.09,1,1
4,0,4.0,748.0,2,123.0,3,3,0.803,0,3
5,1,5.0,785.0,1,108.6,2,9,1.903,1,1
6,1,3.0,759.0,4,75.0,4,10,1.452,1,1
7,0,4.0,836.0,2,88.5,1,3,1.397,1,1
8,1,4.0,688.0,0,50.0,1,9,2.838,1,2
9,1,4.0,503.0,1,120.1,3,3,1.936,0,0
10,0,3.0,830.0,3,132.2,4,10,1.485,1,1
11,0,2.0,649.0,4,27.0,2,10,3.641,1,4
12,1,4.0,424.0,3,84.2,4,11,1.595,0,0
13,1,4.0,792.0,0,85.4,1,3,1.518,1,1
14,0,4.0,652.0,0,77.7,4,3,0.495,1,2
15,0,3.0,843.0,3,88.0,3,9,1.078,1,1
16,0,3.0,660.0,2,148.5,1,10,5.566,1,2
17,0,1.0,546.0,3,41.5,2,9,1.716,0,0
18,1,4.0,775.0,1,132.5,4,7,0.495,1,1
19,0,3.0,661.0,0,84.3,3,9,1.232,1,2
20,1,3.0,632.0,3,152.9,2,9,2.002,0,4
21,0,3.0,712.0,3,104.5,4,9,0.847,1,3
22,1,3.0,610.0,4,60.0,2,9,1.562,1,4
23,1,3.0,621.0,1,117.0,4,6,1.353,1,4
24,1,4.0,809.0,2,144.0,1,3,1.639,1,1
25,0,5.0,838.0,4,49.5,1,9,1.76,1,1
26,1,5.0,837.0,1,120.1,4,9,1.045,1,1
27,0,4.0,658.0,1,102.0,2,9,1.936,1,2
28,1,3.0,684.0,0,56.9,3,3,0.891,1,2
29,1,4.0,302.0,2,132.0,1,9,3.08,0,0
30,0,1.0,588.0,0,121.6,2,9,1.859,0,4
31,1,4.0,688.0,2,147.0,3,10,2.398,1,0
32,1,3.0,609.0,3,66.3,1,10,5.4252,0,4
33,0,1.0,606.0,1,173.4,2,3,1.089,0,4
34,1,3.0,743.0,2,133.5,3,3,1.848,1,3
35,1,4.0,507.0,2,130.5,1,3,1.5389,1,0
36,1,5.0,788.0,3,129.1,3,12,2.178,1,1
37,1,1.0,674.0,3,106.6,3,10,3.41,1,2
38,0,2.0,645.0,4,61.5,4,9,0.869,1,4
39,1,2.0,652.0,0,104.7,2,9,2.035,1,2
40,1,4.0,367.0,1,130.0,2,12,3.806,1,0
41,0,4.0,566.0,1,152.5,3,3,1.177,1,4
42,1,6.0,515.0,4,75.0,3,3,0.979,0,0
43,0,3.0,797.0,1,144.3,1,10,4.752,1,1
44,1,3.0,824.0,3,97.7,4,10,1.54,1,1
45,1,1.0,523.0,2,112.5,1,3,2.541,1,0
46,0,4.0,716.0,0,69.6,2,3,1.881,1,3
47,1,4.0,688.0,2,129.0,4,9,0.693,1,2
48,0,3.0,649.0,0,95.8,3,3,1.507,1,4
49,1,5.0,714.0,3,67.2,4,9,0.66,1,3
50,0,4.0,743.0,2,147.0,1,3,1.397,1,3
51,1,2.0,726.0,1,157.9,2,9,1.925,1,3
52,1,4.0,713.0,0,91.6,2,10,3.74,1,3
53,1,4.0,804.0,1,93.5,3,11,1.408,1,1
54,0,4.0,632.0,2,147.0,2,10,4.708,1,4
55,0,3.0,724.0,0,109.3,3,3,0.891,1,3
56,0,4.0,821.0,1,125.2,2,3,2.101,1,1
57,1,3.0,504.0,0,38.6,4,3,1.023,1,0
58,0,5.0,775.0,1,120.3,1,10,3.41,1,1
59,0,3.0,609.0,5,110.0,1,12,3.696,1,4
60,0,3.0,821.0,1,150.8,4,9,0.979,1,1
61,1,4.0,747.0,2,127.5,2,9,5.159,1,3
62,1,4.0,812.0,2,133.5,2,3,1.144,1,1
63,0,1.0,607.0,1,122.2,2,3,1.914,1,0
64,0,2.0,673.0,3,110.0,1,9,1.694,1,2
65,0,3.0,732.0,1,115.5,1,3,1.7039,1,3
66,1,4.0,739.0,1,134.3,3,7,1.65,1,3
67,1,6.0,846.0,1,124.3,4,3,0.594,1,1
68,1,2.0,432.0,0,72.7,4,3,0.407,1,0
69,1,5.0,812.0,2,142.5,1,3,1.639,1,1
70,1,1.0,367.0,0,75.1,4,9,0.869,1,0
71,0,5.0,519.0,2,144.0,2,9,1.771,1,0
72,0,2.0,620.0,2,78.0,3,9,1.023,1,0
73,0,5.0,794.0,1,101.9,2,3,1.133,1,1
74,0,4.0,755.0,0,96.7,4,10,1.353,1,1
75,0,4.0,654.0,2,133.5,1,10,3.7389,1,2
76,1,3.0,518.0,0,69.1,3,3,1.067,1,0
77,0,5.0,683.0,2,147.0,2,9,1.683,1,2
78,0,3.0,801.0,3,136.7,1,10,4.213,1,1
79,1,2.0,841.0,2,114.0,2,9,1.738,1,1
80,0,2.0,802.0,0,52.7,2,9,2.002,1,1
81,1,2.0,613.0,0,75.9,2,3,1.43,1,4
82,0,2.0,562.0,3,96.2,3,10,3.179,1,4
83,0,6.0,393.0,2,144.0,2,9,1.694,0,0
84,0,2.0,806.0,3,84.3,4,10,2.046,1,1
85,0,4.0,619.0,0,80.1,2,3,2.31,1,4
86,1,3.0,643.0,1,95.4,2,4,2.607,1,4
87,1,4.0,783.0,3,77.8,4,12,1.21,1,1
88,0,3.0,668.0,1,118.2,3,10,2.706,1,0
89,0,2.0,587.0,3,76.8,3,9,2.013,1,4
90,1,4.0,826.0,2,139.5,3,9,1.474,1,1
91,0,5.0,708.0,1,119.2,2,9,2.002,1,3
92,1,4.0,734.0,2,144.0,4,9,0.528,1,3
93,0,4.0,626.0,0,74.1,3,10,1.496,1,4
94,1,2.0,311.0,0,95.4,3,9,1.265,1,0
95,1,5.0,840.0,2,142.5,2,12,3.608,1,1
96,0,2.0,689.0,1,102.5,1,10,3.333,1,2
97,0,4.0,662.0,2,148.5,1,3,1.573,1,2
98,1,2.0,358.0,2,144.0,3,9,1.078,0,0
99,1,4.0,608.0,0,89.3,2,9,2.178,0,4
100,0,4.0,467.0,4,16.5,3,9,1.727,1,0
101,0,3.0,673.0,4,25.5,4,10,0.792,1,2
102,0,3.0,601.0,1,82.3,1,3,1.65,1,4
103,1,4.0,352.0,1,111.3,4,10,0.968,0,0
104,0,3.0,767.0,4,66.0,3,10,3.41,1,1
105,1,1.0,737.0,3,105.3,3,10,2.552,0,3
106,0,3.0,690.0,0,87.3,2,3,2.035,0,2
107,0,4.0,583.0,5,118.0,3,3,0.792,1,4
108,0,2.0,411.0,5,102.0,4,10,2.046,1,0
109,1,4.0,638.0,4,15.0,2,9,1.496,1,4
110,0,4.0,619.0,2,133.5,3,10,3.476,1,4
111,0,5.0,764.0,2,106.5,3,9,1.43,1,1
112,1,4.0,601.0,4,42.0,2,9,1.98,1,4
113,1,5.0,722.0,2,133.5,3,10,3.135,1,3
114,0,3.0,711.0,0,72.5,2,9,1.65,1,3
115,0,5.0,752.0,4,70.5,4,9,0.759,1,1
116,0,2.0,359.0,0,74.0,2,9,1.925,1,0
117,1,6.0,471.0,2,147.0,3,10,1.254,1,0
118,0,5.0,579.0,1,124.3,3,9,1.441,1,4
119,1,4.0,711.0,0,93.6,3,12,1.716,1,3
120,1,5.0,725.0,0,45.3,2,10,4.774,1,3
121,0,4.0,804.0,5,104.0,4,3,0.594,1,1
122,1,6.0,790.0,1,99.0,4,3,0.308,1,1
123,0,4.0,808.0,3,129.3,2,9,1.463,1,1
124,0,6.0,584.0,1,97.1,2,3,2.024,1,4
125,0,1.0,668.0,1,128.2,1,3,2.189,1,2
126,1,4.0,643.0,0,82.6,2,9,1.881,0,4
127,0,3.0,649.0,1,84.8,2,9,1.584,1,4
128,1,4.0,602.0,2,124.5,3,10,2.805,0,4
129,1,6.0,328.0,3,72.9,4,9,0.429,0,0
130,0,4.0,765.0,1,125.9,2,3,1.408,1,1
131,0,3.0,675.0,0,46.9,4,3,0.484,1,2
132,0,2.0,642.0,1,129.8,1,3,1.562,1,4
